"기간","자치구","총전입","여성전입","남성전입","총전출","여성전출","남성전출"
2015.05,"종로구",1858,969,889,2246,1119,1127
2015.05,"중구",1552,774,778,2043,1083,960
2015.05,"중랑구",5903,2985,2918,6127,3093,3034
2015.06,"강남구",8317,3984,4333,9221,4446,4775
2015.06,"강동구",6534,3282,3252,9311,4722,4589
2015.06,"강북구",4322,2123,2199,4803,2397,2406
2015.06,"강서구",8231,3995,4236,8012,4027,3985
2015.06,"관악구",8066,4202,3864,8986,4667,4319
2015.06,"광진구",5038,2478,2560,5622,2765,2857
2015.06,"구로구",4995,2482,2513,5612,2897,2715
2015.06,"금천구",3145,1695,1450,3344,1735,1609
2015.06,"노원구",6066,2967,3099,6945,3425,3520
2015.06,"도봉구",4474,2170,2304,4729,2349,2380
2015.06,"동대문구",4633,2352,2281,5391,2784,2607
2015.06,"동작구",5547,2756,2791,6475,3296,3179
2015.06,"마포구",6113,2940,3173,6045,2971,3074
2015.06,"서대문구",3722,1838,1884,4453,2180,2273
2015.06,"서초구",6453,3089,3364,6804,3286,3518
2015.06,"성동구",4875,2403,2472,4177,2089,2088
2015.06,"성북구",6132,3054,3078,6884,3419,3465
2015.06,"송파구",8556,4196,4360,9319,4616,4703
2015.06,"양천구",5419,2668,2751,6012,2941,3071
2015.06,"영등포구",4852,2465,2387,5597,2838,2759
2015.06,"용산구",3189,1592,1597,3599,1799,1800
2015.06,"은평구",7049,3503,3546,7303,3649,3654
2015.06,"종로구",1961,955,1006,2386,1202,1184
2015.06,"중구",1638,839,799,2058,1061,997
2015.06,"중랑구",6073,2960,3113,6690,3347,3343
2015.07,"강남구",10167,4944,5223,9233,4428,4805
2015.07,"강동구",5866,2893,2973,7859,3887,3972
2015.07,"강북구",4107,2101,2006,4498,2263,2235
2015.07,"강서구",7809,3893,3916,7651,3814,3837
2015.07,"관악구",7730,3993,3737,8545,4441,4104
2015.07,"광진구",4916,2442,2474,5338,2701,2637
2015.07,"구로구",4524,2249,2275,5227,2652,2575
2015.07,"금천구",2750,1432,1318,3004,1589,1415
2015.07,"노원구",5994,2922,3072,6576,3253,3323
2015.07,"도봉구",4235,2133,2102,4511,2267,2244
2015.07,"동대문구",4461,2360,2101,5124,2670,2454
2015.07,"동작구",5283,2593,2690,6389,3165,3224
2015.07,"마포구",5485,2636,2849,5706,2796,2910
2015.07,"서대문구",3675,1836,1839,4101,1982,2119
2015.07,"서초구",6875,3302,3573,6748,3273,3475
2015.07,"성동구",3757,1903,1854,3839,1957,1882
2015.07,"성북구",5539,2742,2797,6414,3192,3222
2015.07,"송파구",7980,3941,4039,9004,4482,4522
2015.07,"양천구",5774,2920,2854,6075,3055,3020
2015.07,"영등포구",4820,2479,2341,5416,2804,2612
2015.07,"용산구",3077,1525,1552,3464,1742,1722
2015.07,"은평구",6284,3050,3234,6548,3203,3345
